School,2016-2017 grad rate,2017-2018 grad rate
A,70.9,70.9
B,90.3,86.3
C,93.4,82.4
D,69.9,74.3
E,96.2,97.1
F,76,80.7
G,80.9,83.6
H,85.4,85.2
I,57.2,58.9
J,53.6,53.9
K,80.9,83
L,95.9,95.1
