"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
52112544,"Magnificent S&W Building Condo In The Heart of Downtown Asheville",167186184,"Towns",NA,28801,35.59547,-82.55303,"Entire home/apt",381,1,8,"2022-01-23",1.56,114,79,8,NA
43967257,"★Tranquil West Asheville Artist Retreat☀",57290621,"Joseph",NA,28806,35.59387,-82.62063,"Entire home/apt",191,2,51,"2022-03-13",2.43,1,128,26,NA
48652101,"Minutes to Everything Newly Renovated",325101930,"Amanda",NA,28704,35.46553,-82.57691,"Entire home/apt",213,2,20,"2022-01-01",1.82,1,241,20,NA
581843085257776768,"Cheerful vacation home in the heart of Asheville",4634736,"Bradley",NA,28804,35.63579,-82.58559,"Entire home/apt",314,3,0,"",NA,2,56,0,NA
36100528,"Casita Amelia/ River Arts District Asheville",61411239,"Virginia",NA,28806,35.5832,-82.57357,"Entire home/apt",130,2,106,"2022-02-27",3.22,2,0,34,NA
20441967,"West AVL Family Funhouse • 5mi to AVL • Views",145883321,"Jeremy & Jami",NA,28806,35.60129,-82.62924,"Entire home/apt",274,3,108,"2022-01-02",1.97,1,279,12,NA
51559316,"5 Walnut Suites #202",25952620,"Ashton",NA,28801,35.59698,-82.55226,"Entire home/apt",156,2,32,"2022-03-15",4.44,3,230,32,NA
30530457,"Chic, stylish luxury in the middle of downtown fun",28629826,"Ricardo",NA,28801,35.59229,-82.55591,"Entire home/apt",239,2,105,"2022-03-13",2.63,2,240,58,NA
18119864,"Sunnyside",124856505,"Kate",NA,28804,35.64704,-82.51875,"Private room",75,3,2,"2019-06-01",0.03,1,180,0,NA
50485379,"Lovely Townhome 1 Mi to Downtown",2359112,"Rose",NA,28801,35.61196,-82.55543,"Entire home/apt",75,30,0,"",NA,1,362,0,NA
52011289,"Astonishing South Slope Townhome with Rooftop Terrace",167186184,"Towns",NA,28801,35.58751,-82.55476,"Entire home/apt",381,1,8,"2022-02-21",1.62,114,198,8,NA
37892971,"New luxury condo in heart of downtown Asheville~55 S.Market St. #208",167186184,"Towns",NA,28801,35.59251,-82.54962,"Entire home/apt",252,1,56,"2022-02-25",1.8,114,223,19,NA
51125183,"Historic Charlotte Street Condo",167186184,"Towns",NA,28801,35.60337,-82.54613,"Entire home/apt",145,1,14,"2022-02-25",1.86,114,267,14,NA
52303908,"3miles Downtown Asheville, Hot Tub, Sleeps 8, Dogs",242474849,"Jennifer",NA,28804,35.62731,-82.58256,"Entire home/apt",278,2,24,"2022-03-16",4.21,14,155,24,NA
50052704,"The Hidden Gem - 5.8 miles to downtown Asheville!",242474849,"Jennifer",NA,28803,35.54879,-82.50626,"Entire home/apt",229,1,51,"2022-03-12",5.67,14,327,51,NA
23393644,"Convenient king suite---walk to downtown!",54379432,"Jesse",NA,28801,35.6034,-82.5553,"Private room",76,2,201,"2022-03-12",4.08,1,151,15,NA
50487811,"Exceptional view home of Asheville!",1222489,"Barbara",NA,28804,35.65333,-82.54351,"Entire home/apt",385,3,3,"2022-02-21",0.52,1,289,3,NA
53312109,"Cheerful 2-bedroom home on a quiet country lane",61305105,"William",NA,28803,35.56179,-82.50462,"Entire home/apt",60,30,0,"",NA,1,150,0,NA
44165215,"New Entire Guest Suite - In Town Mountain Views",134739242,"Dana",NA,28804,35.61424,-82.53984,"Private room",174,1,22,"2021-12-05",1.87,1,172,22,NA
17364637,"Apartment with Private entrance and Private Bath.",117325142,"Kern And Anne",NA,28806,35.59383,-82.63428,"Entire home/apt",85,1,398,"2022-03-19",6.49,1,179,37,NA
