"regio1","serviceCharge","heatingType","balcony","picturecount","totalRent","yearConstructed","noParkSpaces","hasKitchen","livingSpace","condition","petsAllowed","heatingCosts","typeOfFlat","floor","date"
"Sachsen",67,"central_heating",FALSE,6,396,1970,1,FALSE,56.44,"refurbished","negotiable",75,"apartment",3,"19-May"
"Nordrhein_Westfalen",170,"central_heating",TRUE,5,687.5,2002,1,FALSE,76.76,"mint_condition","no",80,"apartment",1,"18-Sep"
"Nordrhein_Westfalen",187,"central_heating",TRUE,11,689,1974,1,FALSE,75,"well_kept","negotiable",73,"apartment",1,"19-Oct"
"Nordrhein_Westfalen",85,"central_heating",TRUE,0,483.17,1998,1,FALSE,64,"well_kept","negotiable",70,"roof_storey",3,"19-May"
"Sachsen",60,"central_heating",FALSE,7,410,1932,1,FALSE,46.07,"refurbished","negotiable",51,"roof_storey",2,"19-May"
"Nordrhein_Westfalen",90,"central_heating",FALSE,2,460,1900,0,TRUE,38,"well_kept","no",40,"other",4,"18-Sep"
"Nordrhein_Westfalen",100,"gas_heating",TRUE,5,550,1975,1,FALSE,76,"modernized","negotiable",55,"apartment",2,"20-Feb"
"Niedersachsen",120,"oil_heating",FALSE,7,770,1965,1,FALSE,70,"refurbished","negotiable",50,"roof_storey",1,"20-Feb"
"Sachsen",80,"central_heating",TRUE,6,648,1925,1,FALSE,85,"well_kept","negotiable",110,"maisonette",4,"20-Feb"
"Nordrhein_Westfalen",100,"central_heating",FALSE,8,529,1911,1,FALSE,62,"well_kept","negotiable",70,"apartment",2,"19-Oct"
"Nordrhein_Westfalen",100,"heat_pump",TRUE,12,820,2011,1,FALSE,80,"mint_condition","no",30,"ground_floor",0,"19-Oct"
"Sachsen",70,"central_heating",TRUE,6,414,1970,1,FALSE,58.64,"refurbished","negotiable",76,"apartment",3,"19-Oct"
"Niedersachsen",130,"gas_heating",TRUE,15,1300,1960,4,TRUE,140,"fully_renovated","negotiable",120,"maisonette",2,"19-Oct"
"Schleswig_Holstein",118,"floor_heating",TRUE,11,1242,2015,1,TRUE,82,"negotiable","negotiable",124,"ground_floor",0,"19-May"
"Sachsen_Anhalt",74,"central_heating",TRUE,6,566,1996,1,TRUE,67,"first_time_use_after_refurbishment","negotiable",90,"roof_storey",3,"19-May"
"Berlin",833.55,"floor_heating",TRUE,9,3399.44,2015,1,TRUE,66.82,"mint_condition","negotiable",60.14,"terraced_flat",2,"20-Feb"
"Nordrhein_Westfalen",89.81,"district_heating",TRUE,8,524.73,1962,0,FALSE,66,"well_kept","no",62,"apartment",2,"19-May"
"Nordrhein_Westfalen",158.16,"floor_heating",TRUE,10,871.93,2016,1,FALSE,63.69,"mint_condition","negotiable",0,"apartment",1,"18-Sep"
"Bayern",170,"combined_heat_and_power_plant",TRUE,4,1215,2014,1,FALSE,95,"mint_condition","negotiable",0,"apartment",2,"18-Sep"
"Nordrhein_Westfalen",100,"central_heating",TRUE,6,890,2019,1,FALSE,75.58,"first_time_use","negotiable",50,"ground_floor",1,"20-Feb"
"Schleswig_Holstein",80,"district_heating",TRUE,10,830,1930,1,TRUE,83,"well_kept","negotiable",80,"apartment",2,"19-May"
"Niedersachsen",100,"floor_heating",TRUE,24,619,2019,18,FALSE,63,"first_time_use","negotiable",20,"terraced_flat",0,"20-Feb"
"Sachsen",80,"gas_heating",FALSE,9,680,1956,1,TRUE,80,"well_kept","negotiable",75,"raised_ground_floor",1,"19-May"
"Nordrhein_Westfalen",60,"central_heating",TRUE,4,700,1993,1,TRUE,62,"well_kept","no",60,"ground_floor",0,"20-Feb"
"Niedersachsen",70,"central_heating",TRUE,10,535,1966,1,FALSE,70,"well_kept","no",80,"apartment",2,"20-Feb"
"Bayern",50,"central_heating",FALSE,5,590,2011,1,TRUE,42,"mint_condition","no",40,"half_basement",0,"19-May"
"Nordrhein_Westfalen",120,"central_heating",TRUE,23,1700,2009,1,FALSE,110,"mint_condition","negotiable",130,"ground_floor",0,"20-Feb"
"Nordrhein_Westfalen",75,"oil_heating",FALSE,5,500,1974,1,FALSE,50,"well_kept","no",90,"roof_storey",3,"18-Sep"
"Bayern",100,"central_heating",TRUE,26,1750,1985,1,TRUE,132,"well_kept","negotiable",100,"ground_floor",0,"19-Oct"
"Berlin",150,"floor_heating",TRUE,23,1294.8,2018,20,TRUE,65.05,"first_time_use","negotiable",105,"apartment",1,"19-May"
"Nordrhein_Westfalen",136,"central_heating",TRUE,8,777,2017,1,TRUE,68.4,"mint_condition","no",68,"roof_storey",2,"19-May"
"Nordrhein_Westfalen",145,"floor_heating",TRUE,15,828.6,2011,1,FALSE,73,"mint_condition","negotiable",85,"ground_floor",0,"20-Feb"
"Sachsen",56,"central_heating",TRUE,10,427,1956,1,TRUE,49.25,"refurbished","negotiable",51,"ground_floor",0,"20-Feb"
"Bayern",290,"central_heating",TRUE,16,2960,1960,1,FALSE,133.5,"well_kept","no",100,"roof_storey",5,"19-May"
"Bayern",140,"central_heating",FALSE,1,960,1900,1,FALSE,112,"refurbished","negotiable",100,"apartment",1,"19-Oct"
"Sachsen",66.5,"central_heating",TRUE,9,622,1996,1,FALSE,51,"fully_renovated","yes",66.5,"maisonette",2,"19-Oct"
"Sachsen",30,"central_heating",FALSE,9,270,1880,1,FALSE,37,"modernized","negotiable",40,"apartment",2,"20-Feb"
"Bayern",113.1,"central_heating",TRUE,3,650.34,2019,1,FALSE,70.69,"first_time_use","negotiable",56.55,"roof_storey",3,"20-Feb"
"Nordrhein_Westfalen",140,"central_heating",FALSE,9,650,1970,1,FALSE,75,"refurbished","negotiable",60,"roof_storey",3,"19-May"
"Nordrhein_Westfalen",120,"central_heating",TRUE,18,1120,1936,1,FALSE,102,"fully_renovated","negotiable",120,"apartment",1,"20-Feb"
"Sachsen",115,"central_heating",TRUE,11,391.15,1978,1,FALSE,55.23,"first_time_use_after_refurbishment","negotiable",70,"apartment",2,"20-Feb"
"Schleswig_Holstein",150,"central_heating",TRUE,15,1100,1970,1,TRUE,94.66,"well_kept","no",150,"apartment",0,"19-Oct"
"Bayern",110,"central_heating",TRUE,7,880,1962,1,FALSE,60,"well_kept","no",50,"apartment",2,"19-Oct"
"Bayern",150,"central_heating",TRUE,17,1010,1962,1,TRUE,105,"fully_renovated","no",100,"apartment",2,"19-Oct"
"Sachsen_Anhalt",46,"central_heating",FALSE,11,300,1961,1,FALSE,40.01,"need_of_renovation","negotiable",54,"ground_floor",0,"19-May"
"Niedersachsen",120,"oil_heating",FALSE,10,860,1954,1,TRUE,70,"well_kept","negotiable",100,"ground_floor",0,"19-May"
"Schleswig_Holstein",115,"gas_heating",FALSE,6,619,1955,1,FALSE,61.04,"first_time_use_after_refurbishment","negotiable",69,"apartment",2,"19-Oct"
"Nordrhein_Westfalen",120,"central_heating",FALSE,7,854.58,1963,1,FALSE,82.9,"well_kept","negotiable",120,"roof_storey",3,"20-Feb"
"Schleswig_Holstein",130,"central_heating",TRUE,3,1050,1935,1,TRUE,145,"refurbished","negotiable",120,"apartment",1,"19-May"
"Nordrhein_Westfalen",150,"combined_heat_and_power_plant",TRUE,18,1350,2018,1,TRUE,102.3,"mint_condition","no",100,"apartment",1,"19-Oct"
"Sachsen",87,"central_heating",FALSE,25,743.43,1908,1,FALSE,78.89,"modernized","no",161,"apartment",2,"19-May"
"Nordrhein_Westfalen",120,"central_heating",TRUE,5,580,1977,1,FALSE,77,"well_kept","negotiable",60,"apartment",2,"19-May"
"Nordrhein_Westfalen",90,"central_heating",TRUE,3,630,1965,1,FALSE,74,"fully_renovated","negotiable",80,"apartment",2,"19-May"
"Niedersachsen",160,"self_contained_central_heating",TRUE,21,1220,1780,1,TRUE,150,"well_kept","negotiable",150,"roof_storey",2,"20-Feb"
"Schleswig_Holstein",80,"central_heating",TRUE,18,680,1900,1,TRUE,80,"refurbished","negotiable",80,"ground_floor",0,"20-Feb"
"Schleswig_Holstein",89,"central_heating",TRUE,11,536,1962,1,TRUE,71.31,"well_kept","negotiable",90,"ground_floor",0,"19-Oct"
"Schleswig_Holstein",95.8,"wood_pellet_heating",FALSE,14,700.5,2014,2,TRUE,60,"well_kept","no",74.7,"roof_storey",1,"20-Feb"
"Nordrhein_Westfalen",230,"floor_heating",TRUE,14,1267,2018,1,FALSE,89.02,"first_time_use","negotiable",87,"apartment",1,"19-Oct"
"Niedersachsen",80,"central_heating",TRUE,2,600,2016,1,TRUE,54.27,"well_kept","yes",80,"ground_floor",1,"19-Oct"
"Berlin",243,"central_heating",TRUE,10,2266,2009,1,FALSE,162.56,"well_kept","negotiable",153,"apartment",1,"18-Sep"
"Nordrhein_Westfalen",120,"self_contained_central_heating",TRUE,15,1380,1933,1,TRUE,140,"fully_renovated","no",70,"apartment",0,"20-Feb"
"Nordrhein_Westfalen",110,"central_heating",TRUE,10,960,2000,1,FALSE,64,"well_kept","negotiable",40,"roof_storey",4,"19-Oct"
"Schleswig_Holstein",90,"district_heating",TRUE,9,980,2012,1,TRUE,75,"well_kept","negotiable",80,"apartment",4,"19-Oct"
"Nordrhein_Westfalen",75,"floor_heating",TRUE,19,635,2005,1,TRUE,47,"mint_condition","no",30,"roof_storey",2,"20-Feb"
"Nordrhein_Westfalen",280,"district_heating",FALSE,12,800,2008,1,FALSE,68.87,"mint_condition","negotiable",80,"roof_storey",2,"20-Feb"
"Nordrhein_Westfalen",85,"central_heating",TRUE,5,550,1964,1,FALSE,53,"fully_renovated","negotiable",30,"apartment",2,"19-May"
"Bayern",157.19,"district_heating",TRUE,11,1157.99,2018,0,FALSE,87.33,"first_time_use","negotiable",0,"apartment",3,"19-May"
"Schleswig_Holstein",115,"central_heating",TRUE,16,695,1997,1,TRUE,75,"well_kept","negotiable",85,"apartment",2,"19-Oct"
"Berlin",218.5,"floor_heating",TRUE,10,1168.5,2019,1,FALSE,95,"first_time_use","yes",76,"apartment",3,"19-Oct"
"Sachsen_Anhalt",65,"central_heating",FALSE,7,400,1936,1,FALSE,53,"fully_renovated","negotiable",70,"apartment",2,"20-Feb"
"Nordrhein_Westfalen",200,"central_heating",FALSE,8,650,1962,2,FALSE,62,"well_kept","no",90,"roof_storey",4,"19-May"
"Sachsen",136,"central_heating",TRUE,16,1015,1904,2,FALSE,136,"first_time_use_after_refurbishment","negotiable",136,"apartment",2,"19-Oct"
"Bayern",250,"electric_heating",TRUE,9,2795,2012,1,TRUE,110,"well_kept","negotiable",40,"apartment",1,"19-May"
"Nordrhein_Westfalen",125.1,"central_heating",TRUE,0,820.46,1994,1,FALSE,84.67,"well_kept","no",105,"apartment",1,"19-Oct"
"Nordrhein_Westfalen",185,"heat_pump",TRUE,8,1945,2019,1,FALSE,156,"first_time_use","negotiable",110,"penthouse",3,"19-May"
"Schleswig_Holstein",138,"self_contained_central_heating",TRUE,17,1362,2019,1,TRUE,102,"first_time_use","negotiable",102,"ground_floor",0,"20-Feb"
"Schleswig_Holstein",80,"central_heating",TRUE,1,630,1963,22,FALSE,62.31,"mint_condition","no",100,"apartment",3,"18-Sep"
"Schleswig_Holstein",105,"central_heating",FALSE,7,605,1998,1,TRUE,60.92,"well_kept","negotiable",80,"roof_storey",3,"19-Oct"
"Nordrhein_Westfalen",155,"central_heating",TRUE,8,1005,2007,1,TRUE,73,"mint_condition","no",60,"apartment",1,"20-Feb"
"Nordrhein_Westfalen",221,"central_heating",FALSE,17,734.5,1965,1,FALSE,79,"refurbished","negotiable",80,"apartment",2,"19-Oct"
"Nordrhein_Westfalen",139,"central_heating",TRUE,9,689,1997,1,FALSE,60,"well_kept","negotiable",100,"apartment",2,"20-Feb"
"Nordrhein_Westfalen",110,"central_heating",TRUE,17,720,1999,1,FALSE,74,"well_kept","no",50,"maisonette",2,"20-Feb"
"Nordrhein_Westfalen",90,"central_heating",TRUE,10,685,1989,1,FALSE,80,"well_kept","no",75,"maisonette",1,"19-Oct"
"Bayern",200,"central_heating",TRUE,3,1445,1993,1,TRUE,78,"well_kept","negotiable",100,"roof_storey",2,"19-May"
"Bayern",190,"floor_heating",TRUE,21,1850,2016,2,TRUE,100,"mint_condition","no",140,"ground_floor",0,"20-Feb"
"Berlin",94,"central_heating",TRUE,19,913.5,1965,5,TRUE,56.5,"fully_renovated","negotiable",85,"apartment",2,"19-Oct"
"Nordrhein_Westfalen",115,"gas_heating",FALSE,15,455,1927,0,TRUE,45,"first_time_use_after_refurbishment","negotiable",40,"apartment",3,"19-Oct"
"Nordrhein_Westfalen",163,"district_heating",TRUE,0,1095.86,2019,27,FALSE,74.26,"first_time_use","negotiable",56,"apartment",0,"19-Oct"
"Berlin",105,"central_heating",TRUE,1,699,1969,1,FALSE,55,"modernized","negotiable",65,"apartment",1,"19-May"
"Schleswig_Holstein",75,"district_heating",TRUE,0,462,1981,1,TRUE,42,"refurbished","negotiable",60,"apartment",4,"20-Feb"
"Schleswig_Holstein",100,"central_heating",TRUE,15,830,1980,1,TRUE,70,"modernized","negotiable",65,"apartment",2,"18-Sep"
"Niedersachsen",145,"district_heating",TRUE,9,750,2010,1,TRUE,78.03,"mint_condition","no",85,"apartment",1,"19-May"
"Nordrhein_Westfalen",120,"central_heating",TRUE,1,550.62,1982,1,FALSE,77.34,"well_kept","negotiable",105,"apartment",1,"20-Feb"
"Nordrhein_Westfalen",100,"district_heating",TRUE,12,680,1969,1,FALSE,72.9,"fully_renovated","negotiable",80,"other",1,"20-Feb"
"Niedersachsen",120,"self_contained_central_heating",TRUE,5,570,1962,1,TRUE,67,"well_kept","negotiable",50,"apartment",1,"19-May"
"Niedersachsen",40,"solar_heating",TRUE,0,590,2019,1,TRUE,55,"first_time_use","no",0,"roof_storey",2,"19-Oct"
"Nordrhein_Westfalen",80,"central_heating",TRUE,17,1155,2009,1,FALSE,90,"fully_renovated","negotiable",120,"maisonette",1,"19-Oct"
"Sachsen_Anhalt",85,"district_heating",TRUE,8,480,1974,1,FALSE,56.5,"fully_renovated","negotiable",60,"apartment",5,"20-Feb"
"Bayern",100,"central_heating",FALSE,20,2060,2013,1,TRUE,55,"mint_condition","no",60,"roof_storey",4,"19-Oct"
"Nordrhein_Westfalen",200,"self_contained_central_heating",FALSE,2,1250,1962,1,FALSE,105,"first_time_use_after_refurbishment","yes",0,"apartment",1,"19-Oct"
"Sachsen",90,"central_heating",FALSE,11,480,1904,1,FALSE,68.55,"well_kept","negotiable",70,"roof_storey",5,"20-Feb"
"Sachsen_Anhalt",155.35,"district_heating",TRUE,10,957.95,2005,1,FALSE,74.76,"well_kept","negotiable",55,"apartment",5,"19-Oct"
"Sachsen",180,"central_heating",FALSE,10,825,1929,0,FALSE,79.49,"fully_renovated","negotiable",0,"apartment",3,"19-Oct"
"Niedersachsen",124,"district_heating",TRUE,6,714,1990,1,FALSE,81.26,"well_kept","negotiable",0,"apartment",2,"20-Feb"
"Nordrhein_Westfalen",115,"central_heating",TRUE,9,340,1996,1,TRUE,30,"well_kept","no",55,"apartment",3,"18-Sep"
"Berlin",100,"central_heating",FALSE,13,925,1998,1,TRUE,85.26,"well_kept","yes",100,"apartment",0,"18-Sep"
"Nordrhein_Westfalen",300,"floor_heating",TRUE,22,2250,2017,1,TRUE,146,"well_kept","negotiable",140,"maisonette",0,"20-Feb"
"Sachsen",90,"central_heating",FALSE,10,320,1900,1,TRUE,46.2,"refurbished","negotiable",0,"apartment",0,"20-Feb"
